City,Lat,Lon,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed
Vila Franca do Campo,37.72,-25.43,PT,1551402314,16.0,93,75,4.6
Mar del Plata,-46.43,-67.52,AR,1551402344,16.46,69,80,3.31
Nizhnetroitskiy,54.34,53.68,RU,1551402346,-2.95,91,80,6.81
Soe,57.91,26.05,EE,1551402264,-3.0,73,90,6.2
Jacareacanga,-6.22,-57.76,BR,1551402354,22.68,97,92,0.96
Kamenka,53.19,44.05,RU,1551401830,0.0,90,88,4.21
Aljezur,37.31,-8.8,PT,1551402139,12.78,81,32,5.56
Fort Saint James,54.43,-124.25,CA,1551402383,-0.8,54,0,1.31
Santa Luzia,-19.77,-43.85,BR,1551402000,22.0,94,0,1.0
Talnakh,69.49,88.39,RU,1551402388,-16.75,76,80,8.76
Kieta,-6.22,155.63,PG,1551402390,28.18,97,12,1.61
Hermanus,-34.42,19.24,ZA,1551402110,18.89,96,44,0.89
Krasnoarmeysk,56.12,38.15,RU,1551401356,1.11,76,75,2.0
Erzin,36.95,36.2,TR,1551399600,9.0,74,0,1.51
Alofi,-19.06,-169.92,NU,1551398400,31.0,66,75,6.7
Roros,62.57,11.38,NO,1551401400,-3.0,86,68,7.2
North Bend,43.41,-124.22,US,1551402329,6.67,87,90,5.1
Kodinsk,58.6,99.18,RU,1551402432,-12.35,79,36,1.06
Goias,-15.93,-50.14,BR,1551402431,23.18,85,32,1.36
Triest,45.65,13.77,IT,1551402292,6.67,87,0,2.1
Caconda,-13.73,15.06,AO,1551402441,15.75,99,76,1.16
Beloha,-25.17,45.06,MG,1551402444,24.11,91,12,1.51
Tanout,14.97,8.88,NE,1551402446,23.93,40,92,2.11
Cabo San Lucas,22.89,-109.91,MX,1551402100,26.0,44,5,3.6
Airai,-8.93,125.41,TL,1551402450,24.71,82,0,0.31
Tessalit,20.2,1.01,ML,1551402452,10.16,45,0,4.91
Hargeysa,9.56,44.06,SO,1551402454,12.06,73,0,1.21
Hithadhoo,-0.6,73.08,MV,1551402460,28.16,100,0,6.26
Ketchikan,55.34,-131.65,US,1551398160,11.0,48,1,7.2
Kodiak,39.95,-94.76,US,1551402461,-2.78,26,1,2.1
Esperance,10.24,-61.45,TT,1551402307,26.0,78,20,3.6
Kostomuksha,64.59,30.6,RU,1551402468,-10.65,75,0,2.76
Tiarei,-17.53,-149.33,PF,1551402185,32.0,66,40,3.6
Rehnan,32.68,51.6,IR,1551400200,4.0,51,75,3.41
Caravelas,-17.73,-39.27,BR,1551402476,29.0,100,8,9.16
Khani,41.96,42.96,GE,1551400200,2.0,93,75,1.5
Acapulco,16.86,-99.88,MX,1551398040,28.0,74,5,4.1
Bathsheba,13.22,-59.52,BB,1551398400,25.0,78,75,8.2
Meulaboh,4.14,96.13,ID,1551402484,25.66,100,44,1.36
Nyuksenitsa,60.41,44.24,RU,1551402488,-7.55,89,76,3.56
Port-Gentil,-0.72,8.78,GA,1551402492,27.16,97,68,3.66
Geraldton,49.72,-86.95,CA,1551400260,-11.0,72,75,3.6
Pandan,11.72,122.09,PH,1551402500,26.11,100,0,7.01
Yatou,3.63,9.81,CM,1551398400,26.0,83,40,2.6
Carutapera,-1.2,-46.02,BR,1551402505,25.06,94,92,2.41
Chernitsyno,51.51,36.05,RU,1551402141,0.0,91,88,4.02
Nizhniy Kuranakh,58.84,125.49,RU,1551402509,-11.65,72,68,1.11
Estacion Coahuila,32.19,-115.0,MX,1551402494,28.0,30,1,4.1
Kathmandu,27.71,85.32,NP,1551401400,3.0,100,20,2.1
Harlingen,26.19,-97.7,US,1551402207,25.0,88,75,4.1
Saint-Georges,46.12,-70.67,CA,1551402059,-12.78,71,0,0.45
Vila,45.18,8.4,IT,1551402504,12.22,93,0,3.1
Hovd,63.83,10.7,NO,1551402365,2.22,88,75,6.7
Takoradi,4.89,-1.75,GH,1551402524,27.25,100,36,3.81
Malayal,7.21,121.94,PH,1551398400,27.0,74,20,2.6
Okha,53.59,142.95,RU,1551402485,-11.15,80,64,1.01
Cidreira,-30.17,-50.22,BR,1551402531,18.56,92,12,2.46
Nelson Bay,-32.72,152.14,AU,1551402125,28.33,47,40,4.6
Kadaura,25.99,79.84,IN,1551402539,8.28,69,12,1.41
Moussoro,13.64,16.49,TD,1551402540,25.53,26,64,5.31
Kahului,20.89,-156.47,US,1551402232,24.44,47,75,6.2
Pareora,-44.49,171.21,NZ,1551402169,20.0,33,0,1.79
Auraiya,26.47,79.52,IN,1551402553,9.66,70,36,2.86
Shelburne,44.08,-80.2,CA,1551402503,-7.22,67,1,3.1
Tasiilaq,65.61,-37.64,GL,1551402558,-1.57,94,92,21.66
La Libertad,-16.38,-71.56,PE,1551398400,13.0,87,75,2.6
Laguna,27.52,-110.01,MX,1551397200,26.0,26,5,4.1
Quatre Cocos,-20.21,57.76,MU,1551402540,26.67,87,76,0.89
Lorengau,-2.02,147.27,PG,1551402566,29.06,93,0,2.86
Devarkonda,16.69,78.91,IN,1551402569,22.43,89,0,2.01
Portland,45.52,-122.67,US,1551402330,5.0,80,90,2.01
Iskateley,67.68,53.15,RU,1551402573,-17.4,70,24,4.91
Ausa,18.25,76.5,IN,1551402575,12.81,54,0,1.91
Adur,41.12,48.3,AZ,1551402576,-6.92,92,32,0.96
Kruisfontein,-34.0,24.73,ZA,1551402358,19.36,88,80,6.26
Lompoc,34.64,-120.46,US,1551402574,17.22,77,1,5.1
Rincon,32.3,-81.24,US,1551402364,20.0,82,1,2.6
Zhigansk,66.77,123.37,RU,1551402586,-20.85,69,68,3.31
Nemuro,43.32,145.57,JP,1551398400,-1.0,63,0,1.5
Ponta do Sol,-20.63,-46.0,BR,1551402590,21.53,89,92,1.86
Birao,10.3,22.78,CF,1551402592,25.16,38,80,1.66
Bireun,5.2,96.7,ID,1551402477,26.36,100,36,1.26
Walvis Bay,-22.95,14.51,NA,1551402144,18.33,82,0,1.5
Monrovia,6.33,-10.8,LR,1551402602,26.81,80,68,2.66
Bambous Virieux,-20.34,57.76,MU,1551402540,26.67,87,76,0.89
Erenhot,43.65,111.97,CN,1551402627,-11.9,59,0,1.61
Eyl,7.98,49.82,SO,1551402630,23.21,100,92,1.96
Valdosta,30.83,-83.28,US,1551402608,19.0,82,90,2.96
Thompson,55.74,-97.86,CA,1551398400,-19.0,70,75,4.6
Onda,39.96,-0.26,ES,1551402550,15.56,76,0,1.5
Inuvik,68.36,-133.71,CA,1551398400,-11.0,43,5,4.1
Homer,59.64,-151.54,US,1551402533,4.44,64,1,2.21
Tiksi,71.64,128.87,RU,1551402641,-19.07,70,76,6.26
Aleksandrovka,46.65,38.4,RU,1551402642,2.61,88,92,11.81
Puerto Varas,-41.32,-72.98,CL,1551398400,14.0,76,0,2.6
Turukhansk,65.8,87.96,RU,1551402646,-12.7,82,76,5.31
Upernavik,72.79,-56.15,GL,1551402648,-16.57,100,20,5.91
Qasigiannguit,68.82,-51.19,GL,1551397800,-5.0,79,32,1.0
Nikolskoye,59.7,30.79,RU,1551402445,-5.0,62,90,8.0
Carcassonne,43.21,2.35,FR,1551402433,13.0,71,90,7.2
Aksarka,66.56,67.8,RU,1551402654,-17.7,72,64,2.51
Loukhi,66.08,33.04,RU,1551402656,-9.15,72,20,3.66
Tarsus,36.92,34.88,TR,1551401400,4.0,60,20,2.1
Severo-Kurilsk,50.68,156.12,RU,1551402659,-2.15,98,12,2.06
Colomi,-17.34,-65.87,BO,1551398400,19.0,52,75,4.6
Touros,-5.2,-35.46,BR,1551402000,26.0,88,40,1.0
La Rioja,-29.41,-66.86,AR,1551402666,23.43,60,0,1.16
Marsa Matruh,31.35,27.25,EG,1551398400,11.0,71,40,4.1
Biak,-0.91,122.88,ID,1551402671,26.91,92,12,1.31
Presidencia Roque Saenz Pena,-26.79,-60.44,AR,1551402673,22.16,62,0,2.36
Port-Cartier,50.03,-66.88,CA,1551402198,-12.78,39,20,4.1
Lagoa,37.14,-8.45,PT,1551402436,14.0,71,0,2.1
General Roca,-39.03,-67.58,AR,1551398400,28.0,18,0,5.7
Neverkino,52.79,46.74,RU,1551402684,-3.15,91,80,5.01
Harwich,41.69,-70.08,US,1551402678,-3.33,72,1,6.36
Goryachiy Klyuch,44.63,39.14,RU,1551402354,5.56,75,40,11.0
Havelock,34.88,-76.9,US,1551402507,11.0,76,40,8.7
Catuday,16.29,119.81,PH,1551402693,25.25,90,8,2.86
Marsh Harbour,26.54,-77.06,BS,1551402695,24.46,100,24,3.26
Vanavara,60.35,102.28,RU,1551402699,-13.0,69,32,1.16
Port Keats,-14.25,129.55,AU,1551402701,27.31,100,0,4.66
Msanga,-6.04,36.03,TZ,1551398400,22.0,83,40,2.6
Tuatapere,-46.13,167.69,NZ,1551402607,14.44,83,24,6.26
Dolny Kubin,49.21,19.3,SK,1551402675,6.11,86,40,1.0
Leningradskiy,69.38,178.42,RU,1551402710,-15.15,100,88,9.06
Bosaso,11.28,49.18,SO,1551402713,24.68,100,0,1.66
Coffs Harbour,-30.3,153.13,AU,1551402499,27.78,69,88,4.1
Washington DC.,38.9,-77.04,US,1551402459,5.0,44,75,2.56
Hamilton,32.3,-64.78,BM,1551402323,21.0,88,90,12.3
Nizwa,22.93,57.53,OM,1551402728,12.08,83,44,1.21
Tupik,54.43,119.94,RU,1551402733,-15.3,55,0,1.06
Oban,56.42,-5.47,GB,1551402615,7.22,86,12,1.16
Ilulissat,69.22,-51.1,GL,1551397800,-5.0,79,32,1.0
Mahebourg,-20.41,57.7,MU,1551402540,26.67,87,76,0.89
Sola,62.78,29.36,FI,1551402726,-10.0,85,0,3.6
Kalmunai,7.42,81.82,LK,1551402741,21.56,98,0,1.21
Merauke,-8.49,140.4,ID,1551402742,27.31,100,56,3.81
Borovoy,63.23,52.89,RU,1551402744,-14.6,78,76,1.91
Langsa,4.47,97.97,ID,1551402745,21.25,91,20,1.16
Mweka,-4.85,21.56,CD,1551402746,20.83,97,92,1.31
Russell,-33.01,-68.8,AR,1551398400,27.0,39,0,1.5
Gigmoto,13.78,124.39,PH,1551402749,25.28,100,68,4.46
Mareeba,-16.99,145.42,AU,1551402208,29.0,58,40,9.3
Abu Samrah,35.3,37.18,SY,1551402751,2.25,69,0,5.31
Broome,52.47,1.45,GB,1551402743,7.78,93,68,3.6
Severomuysk,56.17,113.57,RU,1551402757,-14.9,70,44,1.31
Salalah,17.01,54.1,OM,1551397800,24.0,73,40,0.5
Oktyabrskoye,56.73,85.44,RU,1551402628,-6.0,92,40,2.0
Saint George,39.45,22.34,GR,1551402216,7.78,80,0,2.01
Margate,-43.03,147.26,AU,1551402735,29.44,54,20,2.6
Marawi,8.0,124.29,PH,1551402079,26.11,80,48,1.79
Ahipara,-35.17,173.16,NZ,1551401055,26.11,71,0,4.11
Mount Gambier,-37.83,140.78,AU,1551398400,32.0,21,0,6.7
Banda Aceh,5.56,95.32,ID,1551402771,23.68,99,64,0.96
Ilo,-17.65,-71.34,PE,1551402705,20.83,86,0,1.46
Nardaran,40.56,50.01,AZ,1551400200,5.0,80,0,3.6
Pisco,-13.71,-76.2,PE,1551398400,24.0,73,0,7.7
Kuusamo,65.96,29.19,FI,1551399600,-15.0,84,40,2.6
Arica,-18.48,-70.32,CL,1551398400,22.0,68,0,2.6
Faya,18.39,42.45,SA,1551398400,16.0,62,0,5.1
Preobrazheniye,42.9,133.91,RU,1551402787,-1.1,49,0,1.66
Kotagiri,11.42,76.87,IN,1551400200,23.0,88,20,0.81
Kandi,11.13,2.93,BJ,1551402790,23.31,31,64,1.86
Faanui,-16.48,-151.75,PF,1551402695,28.36,100,64,4.81
Pimentel,-3.7,-45.5,BR,1551402793,22.66,97,92,1.71
Klaksvik,62.23,-6.59,FO,1551401400,3.0,86,80,4.1
Huarmey,-10.07,-78.15,PE,1551402795,23.11,66,24,1.41
Tocopilla,-22.09,-70.2,CL,1551402797,19.0,85,8,1.86
Cayambe,0.04,-78.14,EC,1551398400,16.0,82,75,2.1
Umba,66.69,34.34,RU,1551402800,-7.5,82,36,5.66
Ust-Nera,64.57,143.24,RU,1551402804,-37.22,56,0,0.96
Yima,34.75,111.87,CN,1551402805,1.78,91,92,1.66
Lilongwe,-13.97,33.79,MW,1551402806,18.16,89,48,1.26
Oranjemund,-28.55,16.43,ZA,1551402808,17.66,90,0,10.36
Aasiaat,68.71,-52.87,GL,1551402810,-6.9,83,0,3.56
Brwinow,52.14,20.72,PL,1551402790,3.33,66,0,3.1
Uruzgan,32.93,66.63,AF,1551402814,-5.15,93,92,0.96
Nioro,13.79,-15.05,GM,1551402816,21.03,25,0,5.86
Bilaspur,22.08,82.15,IN,1551402818,14.16,59,0,4.31
San Antero,9.38,-75.76,CO,1551398400,28.0,74,75,4.1
Brae,60.4,-1.35,GB,1551399600,2.0,100,88,2.1
Sao Filipe,14.9,-24.5,CV,1551402825,22.36,88,0,8.31
Cockburn Town,21.46,-71.14,TC,1551402831,25.81,95,0,7.81
Waycross,31.21,-82.35,US,1551402530,18.0,82,1,1.46
Katsuura,33.93,134.5,JP,1551402740,11.11,62,75,5.7
Poronaysk,49.22,143.1,RU,1551402838,-4.42,81,76,1.61
Demba,-5.47,22.27,CD,1551402839,21.41,96,92,0.41
Ulaangom,49.98,92.07,MN,1551402845,-20.45,43,20,0.91
Effingham,39.12,-88.54,US,1551402231,0.0,78,90,3.41
Mount Isa,-20.73,139.49,AU,1551400200,31.0,40,0,6.2
Pochutla,15.74,-96.47,MX,1551402043,28.0,69,40,5.1
Kavieng,-2.57,150.8,PG,1551402848,27.46,100,68,0.51
Nanortalik,60.14,-45.24,GL,1551402668,0.91,92,8,14.21
Riverton,43.02,-108.38,US,1551402059,6.0,60,75,3.6
Podgornoye,57.79,82.64,RU,1551402871,-11.42,87,24,1.06
Vaitape,-16.52,-151.75,PF,1551402872,27.75,100,88,4.66
Coihaique,-45.58,-72.07,CL,1551398400,13.0,66,0,1.5
Jabinyanah,35.03,10.91,TN,1551398400,10.0,81,20,2.1
Ulladulla,-35.36,150.48,AU,1551402864,26.11,60,40,1.0
San-Pedro,4.75,-6.64,CI,1551402881,26.08,90,12,3.31
Mao,19.55,-71.08,DO,1551402660,26.67,78,20,5.1
Jablah,35.36,35.93,SY,1551398400,4.0,69,0,2.1
Itarema,-2.92,-39.92,BR,1551402891,23.93,100,92,3.86
Orslev,55.04,11.97,DK,1551402853,3.33,93,8,1.26
Sur,22.57,59.53,OM,1551402894,21.0,100,0,7.41
Luganville,-15.51,167.18,VU,1551402896,27.96,98,24,3.46
Inhambane,-23.87,35.38,MZ,1551402880,25.58,98,0,3.96
Neyshabur,36.21,58.79,IR,1551402900,0.78,78,44,2.41
Narsaq,60.91,-46.05,GL,1551401400,1.0,80,0,1.5
Fortuna,38.18,-1.13,ES,1551402766,12.78,81,0,1.5
Mahendranagar,28.02,81.63,IN,1551402931,3.36,74,0,1.51
Sovetsk,55.08,21.89,RU,1551402933,-0.8,81,0,7.26
Udachnyy,66.42,112.4,RU,1551402938,-16.3,71,68,1.16
Butembo,0.12,29.29,CD,1551402941,15.18,89,0,1.06
Kant,42.89,74.85,KG,1551400200,1.0,86,68,2.0
Viedma,-40.81,-62.99,AR,1551402950,21.46,34,88,5.36
Ayapel,8.31,-75.14,CO,1551402956,32.83,45,36,1.76
Novyy Urgal,51.07,132.56,RU,1551402960,-14.0,52,12,1.71
Zhanaozen,43.35,52.85,KZ,1551402963,0.61,96,56,2.61
Nakamura,35.17,136.87,JP,1551402847,13.89,62,75,13.9
Yolombo,6.3,-75.61,CO,1551402872,17.0,93,40,3.1
Villarrica,-39.28,-72.23,CL,1551402145,15.0,77,0,3.6
Navashino,55.54,42.19,RU,1551402979,-1.2,94,92,2.06
Hofn,64.25,-15.21,IS,1551402980,4.25,100,92,3.66
Oussouye,12.49,-16.54,SN,1551398400,23.0,46,0,3.1
Manokwari,-0.87,134.08,ID,1551402984,27.41,98,32,2.66
Pasighat,28.06,95.33,IN,1551402987,8.58,98,92,0.51
Arinos,-15.92,-46.11,BR,1551402990,23.16,84,44,1.41
Samarkand,39.65,66.98,UZ,1551400200,4.0,86,20,2.1
Nome,30.04,-94.42,US,1551402889,14.0,93,90,4.1
Dingle,11.0,122.67,PH,1551403001,25.0,75,0,5.66
Palmer,-34.85,139.16,AU,1551402653,38.89,12,0,5.1
Sirohi,24.89,72.86,IN,1551403011,8.58,48,0,1.21
Isangel,-19.55,169.27,VU,1551403012,26.91,100,76,9.06
Lyuban,52.8,28.0,BY,1551403014,0.43,84,68,9.41
Korcula,42.96,17.14,HR,1551402000,1.67,100,8,0.5
Nhamunda,-2.19,-56.71,BR,1551403021,25.58,88,80,0.61
Khandyga,62.65,135.58,RU,1551403023,-31.55,36,0,1.06
Yeniseysk,58.45,92.17,RU,1551403024,-6.45,88,80,1.96
Rio Gallegos,-51.62,-69.22,AR,1551398400,14.0,76,40,2.86
Shingu,33.72,135.99,JP,1551398400,11.0,66,40,6.7
Saint-Martin-de-Crau,43.64,4.81,FR,1551403027,13.89,57,0,6.2
Temirtau,50.05,72.96,KZ,1551400200,-4.0,92,90,5.0
Eskilstuna,59.37,16.51,SE,1551402984,-2.22,85,32,1.66
Goderich,43.74,-81.71,CA,1551403015,-7.22,82,76,1.71
Kampot,10.62,104.18,KH,1551400200,27.0,74,40,2.6
Riyadh,24.63,46.72,SA,1551398400,15.0,28,0,2.6
The Valley,18.22,-63.06,AI,1551402101,25.0,78,20,4.6
Novovorontsovka,47.5,33.92,UA,1551403055,3.58,80,44,6.16
Cap Malheureux,-19.98,57.61,MU,1551402840,27.0,83,40,2.1
Sitka,37.17,-99.65,US,1551402797,3.03,56,36,2.76
Norfolk,36.85,-76.29,US,1551402982,5.56,75,20,3.1
Noumea,-22.28,166.46,NC,1551400200,25.0,83,88,9.8
Gengenbach,48.4,8.02,DE,1551403033,10.56,81,92,5.7
Ponta Delgada,37.73,-25.67,PT,1551402794,16.0,93,75,4.6
Ewa Beach,21.32,-158.01,US,1551403045,24.0,44,1,4.6
Nambucca Heads,-30.64,152.99,AU,1551402845,27.78,69,88,4.1
Xai-Xai,-25.04,33.64,MZ,1551403082,26.86,96,0,6.61
Mukhen,48.19,136.14,RU,1551403083,-5.0,56,0,1.56
Nyurba,63.29,118.35,RU,1551403086,-12.72,82,76,1.21
Hillsborough,37.57,-122.38,US,1551402911,14.0,62,75,5.1
Chambery,45.57,5.93,FR,1551402681,10.0,75,90,1.5
Taltal,-25.41,-70.49,CL,1551403095,18.06,72,0,1.21
Fare,-16.7,-151.02,PF,1551403096,27.43,100,68,4.96
Havoysund,71.0,24.66,NO,1551399600,-3.0,86,80,4.6
Chimoio,-19.11,33.48,MZ,1551402000,20.0,94,20,1.0
Kropotkin,45.43,40.58,RU,1551403104,3.11,88,92,13.21
Marzuq,14.4,46.47,YE,1551403109,9.66,82,0,1.11
Pemba,-12.97,40.52,MZ,1551398400,26.0,100,20,2.1
Irtyshskiy,58.33,68.13,RU,1551403113,-8.15,86,88,3.91
Santa Maria da Boa Vista,-8.8,-39.83,BR,1551403115,24.25,75,24,0.81
Khatanga,71.98,102.47,RU,1551403118,-31.95,38,0,1.86
